89	46	43	66369427	60287965	126657392
140	67	73	114932644	92979437	207912081
17	10	7	12558492	10530808	23089300
66	39	27	48978118	43028603	92006721
23	13	10	16326040	11640272	27966312
5	3	2	3712071	2887957	6600028
1	1	0	1237358	0	1237358
10	7	3	8763136	5311732	14074868
33	18	15	27462222	27728698	55190920
10	6	4	7626772	5775914	13402686
20	8	12	16135119	19126092	35261211
15	9	6	10291578	9484292	19775870
4	2	2	2287018	3145556	5432574
142	74	68	110511726	95743380	206255106
22	14	8	16472923	15721720	32194643
33	18	15	20583158	17095861	37679019
49	29	20	41378402	34888566	76266968
16	9	7	12112417	11770342	23882759
2	1	1	1104797	1145644	2250441
11	7	4	7733580	7244108	14977688
2	1	1	1104797	1811028	2915825
2	1	1	1104797	1811027	2915824
32	15	17	23906165	23486213	47392378
9	6	3	6628783	5433082	12061865
76	44	32	48611077	45062670	93673747
13	7	6	7733580	9214838	16948418
66	41	25	46366574	40774776	87141350
20	9	11	12732201	12536965	25269166
3	2	1	2829378	1139724	3969102
94	56	38	78345834	60809342	139155176
18	8	10	11317513	11397241	22714754
59	31	28	48227201	42336686	90563887
5	2	3	3266562	3419172	6685734
263	138	125	237948281	195509782	433458063
19	9	10	14699530	14003786	28703316
41	20	21	29852304	25303851	55156155
2	1	1	997221	1166226	2163447
29	12	17	23582750	19467294	43050044
12	7	5	7665239	5880102	13545341
39	22	17	34008707	30061791	64070498
3	2	1	3606919	1717217	5324136
66	35	31	48859372	45384857	94244229
5	3	2	4187946	3622054	7810000
22	11	11	17680392	15605984	33286376
4	2	2	3214617	3001389	6216006
21	11	10	20072899	18074967	38147866
5	2	3	3649618	3641578	7291196
4	2	2	3649618	3334220	6983838
22	13	9	14509648	13871938	28381586
19	12	7	12608448	9411231	22019679
65	38	27	45860240	46017931	91878171
101	62	39	71092652	60502399	131595051
8	4	4	7234926	5135899	12370825
87	50	37	69821982	53142766	122964748
24	11	13	19896048	17061011	36957059
5	2	3	3617463	3778586	7396049
16	9	7	16569159	13756505	30325664
9	6	3	7607252	5488254	13095506
2	1	1	1267875	1829419	3097294
25	13	12	16482381	19478668	35961049
2	1	1	1954397	1222534	3176931
2	1	1	1092555	1075042	2167597
113	58	55	82493491	87222534	169716025
18	7	11	10554737	12355505	22910242
3	2	1	2208390	1123227	3331617
2	1	1	2069153	1696645	3765798
3	2	1	2141907	1123228	3265135
35	18	17	25638133	27489307	53127440
17	8	9	11555289	9675373	21230662
9	4	5	7557127	5250977	12808104
90	56	34	70713564	62074539	132788103
6	3	3	5943636	4540879	10484515
3	2	1	2483560	1864231	4347791
7	3	4	3725340	4855437	8580777
69	38	31	66815093	61579762	128394855
37	18	19	22352039	25413777	47765816
24	13	11	21081981	18734966	39816947
68	28	40	57743745	49109551	106853296
4	2	2	3172584	3116836	6289420
43	24	19	30141479	28735926	58877405
48	19	29	35268591	38152657	73421248
28	15	13	23794381	22250492	46044873
4	3	1	3727113	1482660	5209773
2	1	1	2053828	1711577	3765405
11	5	6	10269139	10498483	20767622
3	2	1	3111484	1798424	4909908
27	15	12	17253471	15283984	32537455
45	23	22	27679249	27709636	55388885
15	8	7	9629976	8476831	18106807
19	9	10	10833724	12039313	22873037
4	3	1	3611242	2010587	5621829
5	3	2	3611241	4021174	7632415
5	3	2	4285577	2279448	6565025
3	2	1	2382838	1878637	4261475
28	17	11	21016727	16332323	37349050
11	6	5	7148515	7216263	14364778
10	6	4	7148516	7514548	14663064
44	27	17	32168320	28954039	61122359
16	9	7	14334541	12434771	26769312
12	5	7	8998769	8211746	17210515
1	0	1	0	1186460	1186460
24	13	11	22453240	15755933	38209173
19	12	7	17768106	14171084	31939190
7	4	3	5922702	4813544	10736246
26	15	11	22210134	14793642	37003776
14	7	7	8632385	8707984	17340369
